Step,BulletID,Team,X,Y,Heading
82,22,1,181.3,458.4,226.0
82,23,1,467.8,404.7,274.5
82,24,0,205.0,280.9,106.0
82,25,0,595.0,519.1,286.0
82,26,0,199.4,509.3,46.0
83,11,1,558.9,764.8,153.5
83,16,1,97.9,636.2,203.9
83,18,0,310.9,554.2,134.0
83,19,0,489.1,245.8,314.0
83,20,0,488.9,554.3,74.0
83,21,1,185.6,469.5,257.2
83,22,1,170.5,468.8,226.0
83,23,1,452.8,403.5,274.5
83,24,0,219.5,285.0,106.0
83,25,0,580.5,515.0,286.0
83,26,0,210.2,498.9,46.0
84,11,1,565.6,778.2,153.5
84,16,1,91.8,649.9,203.9
84,18,0,321.7,564.6,134.0
84,19,0,478.3,235.4,314.0
84,20,0,503.4,550.1,74.0
84,21,1,171.0,472.9,257.2
84,22,1,159.7,479.2,226.0
84,23,1,437.9,402.3,274.5
84,24,0,233.9,289.2,106.0
84,25,0,566.1,510.8,286.0
84,26,0,221.0,488.4,46.0
85,11,1,572.3,791.7,153.5
85,16,1,85.8,663.6,203.9
85,18,0,332.4,575.0,134.0
85,19,0,467.6,225.0,314.0
85,20,0,517.8,546.0,74.0
85,21,1,156.4,476.2,257.2
85,22,1,148.9,489.6,226.0
85,23,1,422.9,401.1,274.5
85,24,0,248.3,293.3,106.0
85,25,0,551.7,506.7,286.0
85,26,0,231.7,478.0,46.0
85,27,1,281.5,429.8,263.3
86,16,1,79.7,677.3,203.9
86,18,0,343.2,585.4,134.0
86,19,0,456.8,214.6,314.0
86,20,0,532.2,541.9,74.0
86,21,1,141.8,479.5,257.2
86,22,1,138.1,500.0,226.0
86,23,1,408.0,400.0,274.5
86,24,0,262.7,297.4,106.0
86,25,0,537.3,502.6,286.0
86,26,0,242.5,467.6,46.0
86,27,1,266.6,431.5,263.3
87,16,1,73.6,691.0,203.9
87,18,0,354.0,595.8,134.0
87,19,0,446.0,204.2,314.0
87,20,0,546.6,537.7,74.0
87,21,1,127.1,482.9,257.2
87,22,1,127.3,510.4,226.0
87,23,1,393.0,398.8,274.5
87,24,0,277.1,301.6,106.0
87,25,0,522.9,498.4,286.0
87,26,0,253.3,457.2,46.0
87,27,1,251.7,433.3,263.3
88,16,1,67.6,704.7,203.9
88,18,0,364.8,606.3,134.0
88,19,0,435.2,193.7,314.0
88,21,1,112.5,486.2,257.2
88,22,1,116.5,520.8,226.0
88,23,1,378.1,397.6,274.5
88,24,0,291.6,305.7,106.0
88,25,0,508.4,494.3,286.0
88,26,0,264.1,446.8,46.0
88,27,1,236.8,435.0,263.3
89,16,1,61.5,718.5,203.9
89,18,0,375.6,616.7,134.0
89,19,0,424.4,183.3,314.0
89,21,1,97.9,489.5,257.2
89,22,1,105.7,531.3,226.0
89,23,1,363.1,396.5,274.5
89,24,0,306.0,309.8,106.0
89,25,0,494.0,490.2,286.0
89,27,1,221.9,436.8,263.3
90,16,1,55.4,732.2,203.9
90,18,0,386.4,627.1,134.0
90,19,0,413.6,172.9,314.0
90,21,1,83.3,492.9,257.2
90,22,1,94.9,541.7,226.0
90,23,1,348.2,395.3,274.5
90,24,0,320.4,314.0,106.0
90,25,0,479.6,486.0,286.0
90,27,1,207.1,438.5,263.3
91,16,1,49.3,745.9,203.9
91,18,0,397.2,637.5,134.0
91,19,0,402.8,162.5,314.0
91,21,1,68.6,496.2,257.2
91,22,1,84.2,552.1,226.0
91,23,1,333.2,394.1,274.5
91,24,0,334.8,318.1,106.0
91,25,0,465.2,481.9,286.0
92,16,1,43.3,759.6,203.9
92,18,0,408.0,647.9,134.0
92,19,0,392.0,152.1,314.0
92,21,1,54.0,499.5,257.2
92,22,1,73.4,562.5,226.0
92,23,1,318.2,393.0,274.5
92,24,0,349.2,322.2,106.0
92,25,0,450.8,477.8,286.0
93,16,1,37.2,773.3,203.9
93,18,0,418.8,658.4,134.0
93,19,0,381.2,141.6,314.0
93,21,1,39.4,502.8,257.2
93,22,1,62.6,572.9,226.0
93,23,1,303.3,391.8,274.5
93,24,0,363.7,326.4,106.0
93,25,0,436.3,473.6,286.0
94,16,1,31.1,787.0,203.9
94,18,0,429.6,668.8,134.0
94,19,0,370.4,131.2,314.0
94,21,1,24.8,506.2,257.2
94,22,1,51.8,583.3,226.0
94,23,1,288.3,390.6,274.5
94,24,0,378.1,330.5,106.0
94,25,0,421.9,469.5,286.0
95,18,0,440.3,679.2,134.0
95,19,0,359.7,120.8,314.0
95,21,1,10.1,509.5,257.2
95,22,1,41.0,593.7,226.0
95,23,1,273.4,389.4,274.5
95,24,0,392.5,334.6,106.0
96,18,0,451.1,689.6,134.0
96,19,0,348.9,110.4,314.0
96,22,1,30.2,604.2,226.0
96,23,1,258.4,388.3,274.5
96,24,0,406.9,338.8,106.0
97,18,0,461.9,700.0,134.0
97,19,0,338.1,100.0,314.0
97,22,1,19.4,614.6,226.0
97,23,1,243.5,387.1,274.5
97,24,0,421.3,342.9,106.0
97,28,1,585.8,410.0,286.4
98,18,0,472.7,710.5,134.0
98,19,0,327.3,89.5,314.0
98,22,1,8.6,625.0,226.0
98,23,1,228.5,385.9,274.5
98,24,0,435.7,347.1,106.0
98,28,1,571.4,405.7,286.4
98,29,0,310.6,229.8,82.0
98,30,0,489.4,570.2,262.0
98,31,0,207.9,392.4,22.0
99,18,0,483.5,720.9,134.0
99,19,0,316.5,79.1,314.0
99,24,0,450.2,351.2,106.0
99,28,1,557.0,401.5,286.4
99,29,0,325.4,227.8,82.0
99,30,0,474.6,572.2,262.0
99,31,0,213.6,378.4,22.0
100,18,0,494.3,731.3,134.0
100,19,0,305.7,68.7,314.0
100,24,0,464.6,355.3,106.0
100,28,1,542.7,397.3,286.4
100,29,0,340.3,225.7,82.0
100,30,0,459.7,574.3,262.0
100,31,0,219.2,364.5,22.0
101,18,0,505.1,741.7,134.0
101,19,0,294.9,58.3,314.0
101,24,0,479.0,359.5,106.0
101,28,1,528.3,393.0,286.4
101,29,0,355.2,223.6,82.0
101,30,0,444.8,576.4,262.0
101,31,0,224.8,350.6,22.0
102,18,0,515.9,752.1,134.0
102,19,0,284.1,47.9,314.0
102,24,0,493.4,363.6,106.0
102,28,1,513.9,388.8,286.4
102,29,0,370.0,221.5,82.0
102,30,0,430.0,578.5,262.0
102,31,0,230.4,336.7,22.0
103,18,0,526.7,762.6,134.0
103,19,0,273.3,37.4,314.0
103,24,0,507.8,367.7,106.0
103,28,1,499.5,384.6,286.4
103,29,0,384.9,219.4,82.0
103,30,0,415.1,580.6,262.0
103,31,0,236.0,322.8,22.0
104,18,0,537.5,773.0,134.0
104,19,0,262.5,27.0,314.0
104,24,0,522.3,371.9,106.0
104,28,1,485.1,380.3,286.4
104,29,0,399.7,217.3,82.0
104,30,0,400.3,582.7,262.0
104,31,0,241.7,308.9,22.0
105,18,0,548.2,783.4,134.0
105,19,0,251.8,16.6,314.0
105,24,0,536.7,376.0,106.0
105,28,1,470.7,376.1,286.4
105,29,0,414.6,215.2,82.0
105,30,0,385.4,584.8,262.0
105,31,0,247.3,295.0,22.0
106,18,0,559.0,793.8,134.0
106,19,0,241.0,6.2,314.0
106,24,0,551.1,380.1,106.0
106,28,1,456.3,371.9,286.4
106,29,0,429.4,213.1,82.0
106,30,0,370.6,586.9,262.0
106,31,0,252.9,281.1,22.0
107,24,0,565.5,384.3,106.0
107,28,1,441.9,367.6,286.4
107,29,0,444.3,211.1,82.0
107,30,0,355.7,588.9,262.0
107,31,0,258.5,267.2,22.0
108,24,0,579.9,388.4,106.0
108,28,1,427.5,363.4,286.4
108,29,0,459.1,209.0,82.0
108,30,0,340.9,591.0,262.0
108,31,0,264.1,253.3,22.0
108,32,1,161.6,412.2,18.4
109,24,0,594.4,392.5,106.0
109,28,1,413.1,359.2,286.4
109,29,0,474.0,206.9,82.0
109,30,0,326.0,593.1,262.0
109,31,0,269.7,239.4,22.0
109,32,1,166.3,397.9,18.4
110,24,0,608.8,396.7,106.0
110,28,1,398.8,354.9,286.4
110,29,0,488.8,204.8,82.0
110,30,0,311.2,595.2,262.0
110,31,0,275.4,225.5,22.0
110,32,1,171.1,383.7,18.4
111,24,0,623.2,400.8,106.0
111,28,1,384.4,350.7,286.4
111,29,0,503.7,202.7,82.0
111,30,0,296.3,597.3,262.0
111,31,0,281.0,211.6,22.0
111,32,1,175.8,369.5,18.4
